orderday,order_id,delivery_deviation,median_delivery_handover_min_same_location,vehicle_type,is_pooled,has_alcohol,is_new_courier,is_large_order,delivery_handover_min
2025-11-26,221958,2.24,2.4858,BIKE,0,0,0,0,3.25
2025-10-24,771155,3.49,3.9251,CAR,0,0,0,0,4.63
2025-10-17,231932,3.42,2.3434,CAR,0,0,0,0,2.77
2025-10-27,465838,3.72,3.0453,BIKE,0,0,1,0,6.32
2025-11-09,359178,5.83,3.9538,MOPED,0,0,1,0,8.21
2025-10-09,744167,4.34,4.2224,BIKE,0,0,0,1,5.96
2025-10-20,210268,7.49,4.578,BIKE,1,0,0,0,15.25
2025-11-15,832180,4.03,5.4892,BIKE,0,0,1,0,10.49
2025-10-24,154886,9.86,2.1327,BIKE,0,0,1,0,23.31
2025-11-11,237337,3.22,3.5141,BIKE,0,0,1,0,5.64
2025-10-21,621430,2.76,2.4726,CAR,0,0,1,0,7.48
2025-10-17,187498,5.33,2.9763,BIKE,1,0,0,0,5.48
2025-11-08,999159,8.02,2.5739,CAR,1,0,0,1,16.27
2025-11-19,275203,2.04,4.206,BIKE,1,0,1,0,5.98
2025-10-31,291335,3.67,5.1466,MOPED,1,0,1,0,11.81
2025-10-14,378167,2.99,5.247,BIKE,1,0,1,1,8.23
2025-11-06,141090,4.36,2.217,CAR,0,0,0,0,5.55
2025-10-13,429365,4.08,3.3189,CAR,0,0,0,0,6.01
2025-10-29,164820,7.95,2.1903,BIKE,0,0,0,0,7.02
2025-11-02,887201,3.84,2.1586,BIKE,1,0,0,1,7.84
2025-10-21,421879,8.06,2.6747,BIKE,0,0,0,0,9.44
2025-11-12,818315,3.46,3.9679,BIKE,0,0,1,0,8.34
2025-10-06,427069,6.44,4.2366,BIKE,1,1,0,0,12.39
2025-10-15,876997,4.55,4.4536,CAR,0,0,0,0,5.42
2025-10-14,299041,9.63,4.3533,BIKE,0,0,0,0,21.55
2025-11-01,891743,1.94,2.4752,BIKE,1,0,1,0,2.96
2025-10-09,203355,2.27,5.3906,BIKE,1,0,1,0,6.54
2025-10-10,314176,2.81,2.9598,BIKE,1,0,1,0,5.51
2025-10-19,284779,2.9,3.0049,BIKE,0,0,0,0,4.04
2025-10-03,447449,2.62,2.6794,BIKE,0,0,0,0,1.5
2025-11-01,521909,7.2,2.0418,BIKE,0,0,1,0,7.37
2025-10-01,358795,2.17,4.4729,CAR,1,0,1,0,8.08
2025-10-16,586232,4.1,4.7352,CAR,0,0,0,0,6.59
2025-11-07,600186,3.55,2.3946,CAR,0,0,0,0,4.3
2025-11-14,256730,6.81,2.097,BIKE,0,0,0,0,7.3
2025-11-28,970910,3.06,2.3839,MOPED,0,0,0,0,2.36
2025-11-21,484681,4.99,3.6324,BIKE,0,0,1,0,6.66
2025-11-01,249503,2.26,1.9606,BIKE,1,0,0,1,3.74
2025-11-05,627035,3.6,5.1742,BIKE,0,1,0,0,6.74
2025-11-26,748143,4.07,4.0901,BIKE,0,0,1,0,7.82
2025-10-19,552366,9.28,4.714,BIKE,0,0,0,0,13.63
2025-11-16,165725,3.02,3.5614,BIKE,0,1,1,0,5.71
2025-10-15,229981,9.33,4.1528,BIKE,0,0,0,0,20.11
2025-11-25,184654,3.3,2.0342,CAR,1,0,1,0,5.79
2025-10-05,691723,5.67,5.8015,MOPED,1,0,0,0,9.93
2025-10-14,419030,3.05,2.8721,BIKE,1,0,0,1,5.12
2025-10-05,428947,2.06,3.3118,CAR,0,1,0,0,11.72
2025-10-11,655839,4.99,8.4514,CAR,1,0,1,0,19.05
2025-10-27,373538,5.58,3.1954,MOPED,1,0,0,0,11.44
2025-11-08,431236,2.1,4.5947,BIKE,1,0,0,1,5.58
2025-11-06,628178,3.48,4.2297,CAR,0,0,1,0,7.61
2025-10-07,665894,7.39,2.0046,BIKE,0,0,1,0,11.44
2025-10-02,589492,5.47,2.3204,CAR,0,0,0,0,9.95
2025-11-18,356840,3.33,7.2546,CAR,1,0,0,0,11.82
2025-11-11,573254,3.01,4.3321,CAR,0,0,1,0,5.41
2025-10-23,449457,10.74,3.4591,BIKE,0,0,1,0,19.58
2025-10-21,765987,1.97,2.8164,CAR,0,0,1,0,4.26
2025-11-24,370936,3.94,3.9334,BIKE,1,0,0,0,9.51
2025-11-18,339931,1.95,4.0761,BIKE,1,0,1,0,5.84
2025-10-23,339629,7.83,3.7968,BIKE,1,0,0,0,10.64
2025-10-01,305041,4.04,5.1761,CAR,1,0,0,0,12.39
2025-10-29,798361,4.43,2.4554,MOPED,0,0,0,0,5.55
2025-11-04,517113,3.01,5.1283,BIKE,1,0,1,0,7.13
2025-11-06,877089,3.34,4.7706,BIKE,0,0,0,0,4.16
2025-11-16,748531,3.61,5.6149,BIKE,0,0,1,0,8.04
